User,Replay,spatial_reasoning
953ea80f89aa793f2d8a17d212646301,Angled Silhouette~1,2.25
953ea80f89aa793f2d8a17d212646301,Bird Fez~1,2.375
953ea80f89aa793f2d8a17d212646301,Pi Henge~1,1.8888888888888886
B.Cheesy12,45-Degree Rotations~1,3.5
B.Cheesy12,Angled Silhouette~1,1.5
B.Cheesy12,Bird Fez~1,2.8333333333333335
B.Cheesy12,Pi Henge~1,3.1666666666666665
B.Cheesy12,Pyramids are Strange~2,3.75
BubbleBops,45-Degree Rotations~1,2.875
BubbleBops,Bird Fez~2,3.2916666666666665
BubbleBops,Pi Henge~1,2.8333333333333335
BubbleBops,Pyramids are Strange~1,3.875
Jasenia CD,45-Degree Rotations~1,3.75
Jasenia CD,Bird Fez~2,3.3333333333333335
Jasenia CD,Pi Henge~1,3.4166666666666665
Jasenia CD,Pyramids are Strange~1,2.25
Jin Mori,45-Degree Rotations~1,4.0
Jin Mori,Bird Fez~1,3.4583333333333335
Jin Mori,Pi Henge~1,3.222222222222222
Morissa J.S.,Bird Fez~1,2.625
Morissa J.S.,Pi Henge~1,2.125
MountainGoat,Angled Silhouette~2,1.7916666666666667
MountainGoat,Bird Fez~1,3.4166666666666665
MountainGoat,Pi Henge~1,3.5
MountainGoat,Pyramids are Strange~1,2.25
Thekasdkaed,45-Degree Rotations~1,4.0
Thekasdkaed,Angled Silhouette~1,3.7916666666666665
Thekasdkaed,Bird Fez~1,3.5416666666666665
Thekasdkaed,Pi Henge~1,3.388888888888889
Thekasdkaed,Pyramids are Strange~1,2.625
Water_Bottle,45-Degree Rotations~1,3.875
Water_Bottle,Angled Silhouette~1,3.875
Water_Bottle,Bird Fez~2,3.2916666666666665
Water_Bottle,Pi Henge~1,2.722222222222222
Water_Bottle,Pyramids are Strange~1,3.0
Wuduju,45-Degree Rotations~1,2.5
Wuduju,Pi Henge~1,3.111111111111111
Wuduju,Pyramids are Strange~2,3.125
a6f176cf29c7a3e3bf3fc3c2362ac8c8,Pyramids are Strange~1,2.75
a8d110698c69055de0f594ab2956dde2,45-Degree Rotations~1,3.25
a8d110698c69055de0f594ab2956dde2,Bird Fez~2,3.4583333333333335
a8d110698c69055de0f594ab2956dde2,Pi Henge~1,3.1666666666666665
a8d110698c69055de0f594ab2956dde2,Pyramids are Strange~1,3.25
a8d110698c69055de0f594ab2956dde2,Pyramids are Strange~2,3.875
afa648f0959b8ff1a10ddb9c643aa172,Pi Henge~1,2.4583333333333335
afa648f0959b8ff1a10ddb9c643aa172,Pyramids are Strange~1,2.5
be92bec7a507e83c33700633c0a59255,Angled Silhouette~1,3.5416666666666665
be92bec7a507e83c33700633c0a59255,Bird Fez~1,2.5
be92bec7a507e83c33700633c0a59255,Pi Henge~1,3.277777777777778
be92bec7a507e83c33700633c0a59255,Pi Henge~2,3.5
be92bec7a507e83c33700633c0a59255,Pyramids are Strange~1,2.5
beecc47689704115072807cd992ddc7b,45-Degree Rotations~1,3.875
beecc47689704115072807cd992ddc7b,Angled Silhouette~1,3.75
beecc47689704115072807cd992ddc7b,Bird Fez~1,2.5833333333333335
beecc47689704115072807cd992ddc7b,Pi Henge~1,2.5
beecc47689704115072807cd992ddc7b,Pyramids are Strange~2,3.125
bobatea444,45-Degree Rotations~8,3.5
bobatea444,Angled Silhouette~2,1.9166666666666665
bobatea444,Bird Fez~1,2.75
bobatea444,Pi Henge~1,1.625
bobatea444,Pyramids are Strange~3,1.75
chopinsgf,45-Degree Rotations~1,4.0
chopinsgf,Pi Henge~1,2.3333333333333335
d2695d1ecd5266079525ebc7d197c5c2,45-Degree Rotations~1,3.5
d2695d1ecd5266079525ebc7d197c5c2,Angled Silhouette~1,3.875
d2695d1ecd5266079525ebc7d197c5c2,Bird Fez~1,2.6666666666666665
d2695d1ecd5266079525ebc7d197c5c2,Pi Henge~1,3.222222222222222
d2695d1ecd5266079525ebc7d197c5c2,Pyramids are Strange~1,1.875
e94bcd5830a6a2d1e9af610edfdc52dc,45-Degree Rotations~1,2.125
e94bcd5830a6a2d1e9af610edfdc52dc,Angled Silhouette~1,3.6666666666666665
e94bcd5830a6a2d1e9af610edfdc52dc,Bird Fez~1,1.7916666666666665
e94bcd5830a6a2d1e9af610edfdc52dc,Pi Henge~1,3.222222222222222
eb31edc705bc6a52f30c37c1622267cc,Angled Silhouette~1,2.8333333333333335
eb31edc705bc6a52f30c37c1622267cc,Bird Fez~1,2.9166666666666665
eb31edc705bc6a52f30c37c1622267cc,Pi Henge~1,3.4444444444444446
eb31edc705bc6a52f30c37c1622267cc,Pyramids are Strange~1,3.875
eddy123,Angled Silhouette~1,4.0
eddy123,Bird Fez~1,2.5416666666666665
eddy123,Pi Henge~1,2.5
ef0b43cdf2d6ac99ff1bf5c2284e932a,45-Degree Rotations~1,3.875
ef0b43cdf2d6ac99ff1bf5c2284e932a,Angled Silhouette~1,3.875
ef0b43cdf2d6ac99ff1bf5c2284e932a,Bird Fez~1,2.625
ef0b43cdf2d6ac99ff1bf5c2284e932a,Pi Henge~1,3.888888888888889
ef0b43cdf2d6ac99ff1bf5c2284e932a,Pyramids are Strange~1,3.75
engineer217,45-Degree Rotations~7,3.375
engineer217,Angled Silhouette~2,3.0833333333333335
engineer217,Bird Fez~6,3.5
engineer217,Pi Henge~1,2.375
engineer217,Pyramids are Strange~1,2.125
f50c8d5d6414f0e64ef8c21973d0a6d6,45-Degree Rotations~1,2.125
f50c8d5d6414f0e64ef8c21973d0a6d6,Angled Silhouette~1,2.875
f50c8d5d6414f0e64ef8c21973d0a6d6,Pi Henge~1,3.388888888888889
f50c8d5d6414f0e64ef8c21973d0a6d6,Pyramids are Strange~1,2.75
fluffyunicorn,Pi Henge~1,3.6666666666666665
immawalkmyfish,45-Degree Rotations~1,3.75
immawalkmyfish,Bird Fez~1,3.4583333333333335
immawalkmyfish,Pi Henge~1,2.875
immawalkmyfish,Pyramids are Strange~1,2.75
mathwiz,45-Degree Rotations~1,1.5
mathwiz,Angled Silhouette~1,3.875
mathwiz,Bird Fez~1,2.75
mathwiz,Pyramids are Strange~1,2.875
purple_panther,Angled Silhouette~1,3.875
purple_panther,Bird Fez~1,2.5416666666666665
purple_panther,Pi Henge~1,3.777777777777778
purple_someone,Bird Fez~3,3.3333333333333335
purple_someone,Pi Henge~3,2.1666666666666665
purple_someone,Pyramids are Strange~3,3.5
redbed,45-Degree Rotations~1,3.875
redbed,45-Degree Rotations~5,3.75
redbed,Bird Fez~1,2.6666666666666665
redbed,Bird Fez~2,3.4166666666666665
redbed,Pi Henge~1,3.388888888888889
redbed,Pi Henge~4,3.5
redbed,Pyramids are Strange~2,2.375
