replay,user,group,puzzle,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,Snapshots,CheckSolution,cube,pyramid,ramp,cylinder,cone,sphere
8. Combine 2 Ramps~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,67.317902,0.0,2,6,10,0,0,3,2,1,0,0,2,0,0,0
9. Scaling Round Objects~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,88.993312,0.0,2,0,1,9,0,1,3,1,0,0,0,1,1,0
4. Match Silhouettes~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,310.79549200000025,0.0,2,0,71,0,0,25,16,3,1,1,0,0,0,0
1. One Box~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,101.357326,0.0,2,0,12,0,1,18,0,1,2,0,0,0,0,0
5. Removing Objects~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,493.13848200000007,0.0,10,0,66,0,8,47,25,3,2,6,0,0,2,0
2. Separated Boxes~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,192.806281,0.0,2,0,39,0,0,17,0,2,2,0,0,0,0,0
6. Stretch a Ramp~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,75.491247,0.0,1,0,2,5,0,10,0,1,0,0,1,0,0,0
7. Max 2 Boxes~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,114.58535399999998,145.96200199999998,1,0,2,16,0,43,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,31.468343000000004,0.0,1,1,2,0,0,0,0,1,0,1,0,0,0,0
8. Combine 2 Ramps~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,75.28677500000002,0.0,2,7,2,0,0,6,0,1,0,0,2,0,0,0
Square Cross-Sections~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,166.9457489999999,60.732278,3,14,4,0,0,16,0,1,0,1,1,1,0,0
9. Scaling Round Objects~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,187.991795,105.222281,2,0,11,11,0,10,0,1,0,0,0,1,1,0
4. Match Silhouettes~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,39.10213199999999,33.60923,2,0,3,0,0,5,0,1,1,1,0,0,0,0
1. One Box~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,27.736549,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,b2531b7f78817a6d4acda4a109b7a431,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,180.94562899999997,49.09509,4,0,17,0,3,28,0,1,1,2,0,0,1,0
2. Separated Boxes~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,74.97628600000002,0.0,2,0,7,0,0,0,0,3,2,0,0,0,0,0
6. Stretch a Ramp~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,201.22868900000006,0.0,3,0,11,10,2,6,0,2,0,0,3,0,0,0
7. Max 2 Boxes~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,45.982942,0.0,1,0,2,6,0,0,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,62.52668500000001,0.0,1,1,2,0,0,21,0,2,0,1,0,0,0,0
8. Combine 2 Ramps~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,121.53565699999999,0.0,4,4,3,0,2,1,0,2,0,0,4,0,0,0
4. Match Silhouettes~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,110.145032,0.0,6,0,5,0,4,5,0,2,3,3,0,0,0,0
1. One Box~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,33.663177,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,128.44029600000002,208.092185,5,0,4,0,3,0,0,2,1,3,0,0,1,0
2. Separated Boxes~1,0760db831ec82e0c4b3349f6045d9669,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,123.27400099999998,0.0,2,0,11,0,0,3,4,3,2,0,0,0,0,0
3. Rotate a Pyramid~1,0760db831ec82e0c4b3349f6045d9669,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,33.842542,0.0,1,1,0,0,0,2,1,1,0,1,0,0,0,0
4. Match Silhouettes~1,0760db831ec82e0c4b3349f6045d9669,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,78.250887,0.0,2,0,1,0,0,5,3,5,1,1,0,0,0,0
1. One Box~2,0760db831ec82e0c4b3349f6045d9669,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,24.741833999999997,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,56.183743,0.0,2,0,9,0,0,0,0,2,2,0,0,0,0,0
6. Stretch a Ramp~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,39.463906,81.318306,1,0,0,2,0,1,0,1,0,0,1,0,0,0
7. Max 2 Boxes~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,19.623257,0.0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,35.600956,0.0,1,1,0,0,0,0,0,2,0,1,0,0,0,0
8. Combine 2 Ramps~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,50.991535999999996,0.0,2,6,2,0,0,3,0,1,0,0,2,0,0,0
9. Scaling Round Objects~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,122.26305,0.0,2,0,5,2,0,3,0,3,0,0,0,1,1,0
4. Match Silhouettes~1,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,79.79934400000002,0.0,4,0,2,0,0,0,0,2,2,2,0,0,0,0
1. One Box~2,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,41.336587,0.0,1,0,6,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~2,9ebecebccf7f8b60313c913a80f70f47,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,336.37628599999994,38.552605,7,0,65,0,1,0,0,8,2,3,0,0,2,0
2. Separated Boxes~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,105.94302700000001,0.0,2,0,9,0,0,0,0,3,2,0,0,0,0,0
6. Stretch a Ramp~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,159.124493,0.0,1,0,12,20,0,10,0,2,0,0,1,0,0,0
7. Max 2 Boxes~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,52.82470800000001,0.0,1,0,0,2,0,8,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,41.283768,0.0,1,5,0,0,0,0,0,1,0,1,0,0,0,0
4. Match Silhouettes~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,549.18901,260.25712599999997,8,0,55,0,2,61,7,3,5,3,0,0,0,0
1. One Box~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,52.310939000000005,0.0,1,0,4,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,114.03563900000003,0.0,3,0,5,0,1,11,0,1,1,1,0,0,1,0
2. Separated Boxes~1,3ea797888d868011497d6e0e56206f3b,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,118.52393499999998,0.0,2,0,13,0,0,0,0,4,2,0,0,0,0,0
3. Rotate a Pyramid~1,3ea797888d868011497d6e0e56206f3b,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,150.83613600000007,0.0,1,50,5,0,0,0,0,3,0,1,0,0,0,0
4. Match Silhouettes~1,3ea797888d868011497d6e0e56206f3b,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,29.761846,0.0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,3ea797888d868011497d6e0e56206f3b,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,172.00908599999997,0.0,1,0,30,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,68.852721,0.0,2,0,5,0,0,0,0,3,2,0,0,0,0,0
6. Stretch a Ramp~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,266.39566699999995,0.0,12,0,0,34,11,2,3,7,0,0,12,0,0,0
7. Max 2 Boxes~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,22.706173000000003,0.0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,34.256398000000004,0.0,1,3,2,0,0,0,0,1,0,1,0,0,0,0
4. Match Silhouettes~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,38.651675,0.0,2,0,5,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,54.648723,0.0,1,0,5,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,572.6418060000003,0.0,19,0,62,0,15,0,6,9,4,7,0,0,8,0
2. Separated Boxes~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,93.61318100000001,0.0,2,0,9,0,0,0,0,4,2,0,0,0,0,0
6. Stretch a Ramp~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,67.57634500000002,0.0,1,0,1,6,0,2,0,2,0,0,1,0,0,0
7. Max 2 Boxes~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,187.13774499999997,37.087814,3,0,6,20,2,11,0,5,3,0,0,0,0,0
3. Rotate a Pyramid~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,21.686366,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
8. Combine 2 Ramps~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,69.42653599999998,0.0,2,6,6,0,0,4,0,1,0,0,2,0,0,0
4. Match Silhouettes~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,25.402493,0.0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,51.718363000000004,0.0,1,0,6,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,a48c50f9ef3ef60c304e7e4ca5d775cb,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,510.2240189999998,0.0,5,0,89,0,2,5,0,13,1,2,0,0,2,0
2. Separated Boxes~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,135.667148,0.0,4,0,5,0,0,3,1,3,4,0,0,0,0,0
6. Stretch a Ramp~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,101.19882000000001,0.0,2,0,0,9,0,20,0,1,0,0,2,0,0,0
7. Max 2 Boxes~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,53.109346,0.0,1,0,2,2,0,1,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,44.972467,0.0,1,1,3,0,0,1,3,1,0,1,0,0,0,0
8. Combine 2 Ramps~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,116.05362399999999,0.0,4,20,2,0,0,5,0,2,0,0,4,0,0,0
4. Match Silhouettes~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,30.782126,0.0,2,0,1,0,0,0,1,1,1,1,0,0,0,0
1. One Box~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,64.982299,46.676085,2,0,6,0,0,4,1,1,2,0,0,0,0,0
5. Removing Objects~1,33619c0e26fd218fbe79c78b631b7843,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,417.91798499999976,71.788209,21,0,7,0,16,8,6,8,4,13,0,0,4,0
2. Separated Boxes~1,e3d9bb1dbe4394feac89c0974e04a53f,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,61.470955000000004,0.0,3,0,2,0,1,0,0,2,3,0,0,0,0,0
3. Rotate a Pyramid~1,e3d9bb1dbe4394feac89c0974e04a53f,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,138.76282099999995,0.0,2,34,5,0,1,0,0,4,0,2,0,0,0,0
4. Match Silhouettes~1,e3d9bb1dbe4394feac89c0974e04a53f,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,53.87599999999999,0.0,3,0,4,0,1,0,3,1,1,2,0,0,0,0
1. One Box~1,e3d9bb1dbe4394feac89c0974e04a53f,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,23.049397000000003,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,e08bc4c6e82c2fce47308de23960f73c,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,156.47746199999997,0.0,3,0,21,0,1,0,0,3,3,0,0,0,0,0
3. Rotate a Pyramid~1,e08bc4c6e82c2fce47308de23960f73c,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,79.06831599999998,0.0,1,39,0,0,0,0,0,1,0,1,0,0,0,0
4. Match Silhouettes~1,e08bc4c6e82c2fce47308de23960f73c,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,134.131688,0.0,4,0,15,0,2,0,1,4,2,2,0,0,0,0
1. One Box~1,e08bc4c6e82c2fce47308de23960f73c,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,60.96527400000001,0.0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,40.668265999999996,0.0,2,0,1,0,0,0,0,2,2,0,0,0,0,0
6. Stretch a Ramp~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,441.4058590000001,30.969811,2,0,21,19,0,167,0,9,0,0,2,0,0,0
7. Max 2 Boxes~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,161.03150799999997,0.0,4,0,0,8,0,17,0,3,4,0,0,0,0,0
3. Rotate a Pyramid~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,88.118379,0.0,2,7,3,0,0,0,0,3,0,2,0,0,0,0
8. Combine 2 Ramps~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,327.866267,0.0,2,52,12,0,0,32,0,1,0,0,2,0,0,0
9. Scaling Round Objects~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,69.06824999999999,0.0,2,0,3,3,0,3,0,1,0,0,0,1,1,0
4. Match Silhouettes~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,26.739309,0.0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,144.05622799999998,0.0,2,0,15,0,0,0,0,1,2,0,0,0,0,0
5. Removing Objects~1,2b2396af4cbf91224f099e909c6068f7,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,25.943934,0.0,2,0,0,0,0,0,0,1,0,1,0,0,1,0
1. One Box~1,bfc0042bbe42e56ce5a8d2d9b8c0f4e4,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,21.278523,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,71.432664,0.0,3,0,1,0,0,0,0,3,3,0,0,0,0,0
6. Stretch a Ramp~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,90.08102400000001,0.0,1,0,6,8,0,3,0,1,0,0,1,0,0,0
7. Max 2 Boxes~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,77.131215,0.0,2,0,1,1,0,0,0,2,2,0,0,0,0,0
3. Rotate a Pyramid~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,71.81013999999999,0.0,2,3,0,0,0,0,0,3,0,2,0,0,0,0
Bird Fez~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,127.222051,0.0,4,2,6,3,1,7,0,1,1,1,0,1,0,1
8. Combine 2 Ramps~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,56.725421,0.0,2,10,2,0,0,1,0,1,0,0,2,0,0,0
Pi Henge~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,77.29724,0.0,5,0,4,5,0,2,0,1,5,0,0,0,0,0
Pyramids are Strange~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,125.03375499999999,72.960352,5,12,0,2,1,5,2,1,0,5,0,0,0,0
Square Cross-Sections~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,64.490944,34.23843,3,4,3,0,0,1,0,1,0,1,1,1,0,0
9. Scaling Round Objects~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,68.97370099999999,0.0,2,0,1,8,0,1,1,1,0,0,0,1,1,0
45-Degree Rotations~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,45-Degree Rotations,47.323649,53.387395,5,18,0,0,0,1,1,1,0,0,4,0,0,1
4. Match Silhouettes~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,50.218129,0.0,2,0,5,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,41.639618999999996,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5. Removing Objects~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,482.60018599999984,0.0,11,0,14,0,7,22,4,3,3,5,0,0,3,0
