puzzle,completedStudents
Angled Silhouette,set()
Bird Fez,{'4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~11'}
Boxes Obscure Spheres,set()
Square Cross-Sections,"{'4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~10', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~21', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~17', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~10', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~10'}"
9. Scaling Round Objects,"{'4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~9', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~9', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~11', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~16', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~9', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~19', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~9', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~9'}"
Bull Market,set()
More Than Meets Your Eye,set()
Not Bird,set()
Few Clues,set()
Orange Dance,set()
Warm Up,set()
Pi Henge,"{'4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~23', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~12'}"
Pyramids are Strange,"{'4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~20', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~14'}"
45-Degree Rotations,{'4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~13'}
Sugar Cones,set()
