StudentID,Puzzle,AttemptOrder
be92bec7a507e83c33700633c0a59255,Bird Fez,12
be92bec7a507e83c33700633c0a59255,Pi Henge,13
be92bec7a507e83c33700633c0a59255,Pi Henge,17
be92bec7a507e83c33700633c0a59255,Pyramids are Strange,15
"
" Etiquetado
113d1b7d0977122f5962fa123325c015,45-Degree Rotations,13
113d1b7d0977122f5962fa123325c015,Angled Silhouette,19
113d1b7d0977122f5962fa123325c015,Bird Fez,11
113d1b7d0977122f5962fa123325c015,Pi Henge,12
113d1b7d0977122f5962fa123325c015,Pyramids are Strange,15
"
"Etiquetado
7a2c3ba5b630c18ff35177361c93141b,45-Degree Rotations,14
7a2c3ba5b630c18ff35177361c93141b,Angled Silhouette,20
7a2c3ba5b630c18ff35177361c93141b,Bird Fez,11
7a2c3ba5b630c18ff35177361c93141b,Pi Henge,12 (incompleta)
7a2c3ba5b630c18ff35177361c93141b,Pyramids are Strange,15
"
" Etiquetado
947329e4045fb60fd62c6ee739583545,Angled Silhouette,12
947329e4045fb60fd62c6ee739583545,Bird Fez,36
947329e4045fb60fd62c6ee739583545,Pi Henge,38
"
" Etiquetado
d2695d1ecd5266079525ebc7d197c5c2,45-Degree Rotations,13
d2695d1ecd5266079525ebc7d197c5c2,Angled Silhouette,18
d2695d1ecd5266079525ebc7d197c5c2,Bird Fez,11
d2695d1ecd5266079525ebc7d197c5c2,Pi Henge,12
d2695d1ecd5266079525ebc7d197c5c2,Pyramids are Strange,14 (ejemplo)
"
-----------------A partir de aquí están etiquetados---------------------------------------------
"
7ad6a5644dc189d2dd6b366b70f9cca9,45-Degree Rotations,13
7ad6a5644dc189d2dd6b366b70f9cca9,Angled Silhouette,18
7ad6a5644dc189d2dd6b366b70f9cca9,Bird Fez,11
7ad6a5644dc189d2dd6b366b70f9cca9,Pi Henge,12
7ad6a5644dc189d2dd6b366b70f9cca9,Pyramids are Strange,14
"
"
6f6b458eb58d511b0bc127cd67a81f84,45-Degree Rotations,16
6f6b458eb58d511b0bc127cd67a81f84,Angled Silhouette,21
6f6b458eb58d511b0bc127cd67a81f84,Bird Fez,14
6f6b458eb58d511b0bc127cd67a81f84,Pi Henge,15
6f6b458eb58d511b0bc127cd67a81f84,Pyramids are Strange,17
"
"
00f86c5fc28e8d326cdae17ea97c7387,45-Degree Rotations,16
00f86c5fc28e8d326cdae17ea97c7387,Angled Silhouette,19
00f86c5fc28e8d326cdae17ea97c7387,Bird Fez,21
00f86c5fc28e8d326cdae17ea97c7387,Pi Henge,15
00f86c5fc28e8d326cdae17ea97c7387,Pyramids are Strange,17
"
"
a6f176cf29c7a3e3bf3fc3c2362ac8c8,45-Degree Rotations,14
a6f176cf29c7a3e3bf3fc3c2362ac8c8,Angled Silhouette,20
a6f176cf29c7a3e3bf3fc3c2362ac8c8,Bird Fez,11
a6f176cf29c7a3e3bf3fc3c2362ac8c8,Pi Henge,13
a6f176cf29c7a3e3bf3fc3c2362ac8c8,Pyramids are Strange,15
"
-----------------------------------------------------------------------
" Etiquetado
a8d110698c69055de0f594ab2956dde2,45-Degree Rotations,17
a8d110698c69055de0f594ab2956dde2,Angled Silhouette,37 (incompleta)
a8d110698c69055de0f594ab2956dde2,Bird Fez,15
a8d110698c69055de0f594ab2956dde2,Pi Henge,16
a8d110698c69055de0f594ab2956dde2,Pyramids are Strange,18
a8d110698c69055de0f594ab2956dde2,Pyramids are Strange,22
"
" Etiquetado
953ea80f89aa793f2d8a17d212646301,45-Degree Rotations,13
953ea80f89aa793f2d8a17d212646301,Angled Silhouette,20
953ea80f89aa793f2d8a17d212646301,Bird Fez,11
953ea80f89aa793f2d8a17d212646301,Pi Henge,12
953ea80f89aa793f2d8a17d212646301,Pyramids are Strange,15 (corrupted)
"
" Etiquetado
10b6d08eea990eacf342c323080e83f5,45-Degree Rotations,13
10b6d08eea990eacf342c323080e83f5,Angled Silhouette,21
10b6d08eea990eacf342c323080e83f5,Bird Fez,11
10b6d08eea990eacf342c323080e83f5,Pi Henge,12
10b6d08eea990eacf342c323080e83f5,Pyramids are Strange,14
"
" Etiquetado
5b376caf2913ef3a48a53e38cba2a2f0,45-Degree Rotations,15 (corrupted)
5b376caf2913ef3a48a53e38cba2a2f0,Angled Silhouette,21
5b376caf2913ef3a48a53e38cba2a2f0,Pi Henge,14
5b376caf2913ef3a48a53e38cba2a2f0,Pyramids are Strange,27
"
" Etiquetado
0d35fa2868a21199e36b159b49ae6aad,45-Degree Rotations,13
0d35fa2868a21199e36b159b49ae6aad,Angled Silhouette,18
0d35fa2868a21199e36b159b49ae6aad,Bird Fez,11
0d35fa2868a21199e36b159b49ae6aad,Pi Henge,12
0d35fa2868a21199e36b159b49ae6aad,Pyramids are Strange,14
"
"
f22d5e004366e83c9eb106b13b21bc9d,45-Degree Rotations,13
f22d5e004366e83c9eb106b13b21bc9d,Angled Silhouette,16
f22d5e004366e83c9eb106b13b21bc9d,Bird Fez,11 (scaleShapes no se corresponde)
f22d5e004366e83c9eb106b13b21bc9d,Pi Henge,12
f22d5e004366e83c9eb106b13b21bc9d,Pyramids are Strange,14
"
"
7978544a75b7e49d6a5cfe95fe3ded56,45-Degree Rotations,13
7978544a75b7e49d6a5cfe95fe3ded56,Angled Silhouette,20
7978544a75b7e49d6a5cfe95fe3ded56,Bird Fez,11
7978544a75b7e49d6a5cfe95fe3ded56,Pi Henge,12
"
"
fb039fa921dd55d1b7eb210d8a5f75fc,45-Degree Rotations,13
fb039fa921dd55d1b7eb210d8a5f75fc,Angled Silhouette,18
fb039fa921dd55d1b7eb210d8a5f75fc,Bird Fez,11
fb039fa921dd55d1b7eb210d8a5f75fc,Pi Henge,12
fb039fa921dd55d1b7eb210d8a5f75fc,Pyramids are Strange,14
"
"
5e186eef80240c4069112f359dadf9ef,45-Degree Rotations,13
5e186eef80240c4069112f359dadf9ef,Angled Silhouette,18
5e186eef80240c4069112f359dadf9ef,Bird Fez,11
5e186eef80240c4069112f359dadf9ef,Pi Henge,12
5e186eef80240c4069112f359dadf9ef,Pyramids are Strange,14
"
"
5d483abb3f27510378f2b7672e83bc1e,45-Degree Rotations,4
5d483abb3f27510378f2b7672e83bc1e,Angled Silhouette,9
5d483abb3f27510378f2b7672e83bc1e,Bird Fez,2
5d483abb3f27510378f2b7672e83bc1e,Pi Henge,3
5d483abb3f27510378f2b7672e83bc1e,Pyramids are Strange,5
"
"
b7b6a911ecb48add616af2d2546f77de,45-Degree Rotations,13
b7b6a911ecb48add616af2d2546f77de,Angled Silhouette,19
b7b6a911ecb48add616af2d2546f77de,Bird Fez,11
b7b6a911ecb48add616af2d2546f77de,Pi Henge,12
"
"
f520f6763fdb355659089797cfbd25e0,45-Degree Rotations,13
f520f6763fdb355659089797cfbd25e0,Angled Silhouette,19
f520f6763fdb355659089797cfbd25e0,Bird Fez,11
f520f6763fdb355659089797cfbd25e0,Pi Henge,12
f520f6763fdb355659089797cfbd25e0,Pyramids are Strange,14
"
"
a139eff80ad1587e94570be61a28219e,45-Degree Rotations,16
a139eff80ad1587e94570be61a28219e,Angled Silhouette,22
a139eff80ad1587e94570be61a28219e,Bird Fez,13
a139eff80ad1587e94570be61a28219e,Pi Henge,15
a139eff80ad1587e94570be61a28219e,Pyramids are Strange,17
"
"
7efcb41a92a61b13280d8c19e2fef302,45-Degree Rotations,16
7efcb41a92a61b13280d8c19e2fef302,Angled Silhouette,20
7efcb41a92a61b13280d8c19e2fef302,Bird Fez,11
7efcb41a92a61b13280d8c19e2fef302,Pi Henge,12
7efcb41a92a61b13280d8c19e2fef302,Pyramids are Strange,15
"
"
263c55cbe89c59d5374540a90c0e9425,45-Degree Rotations,18
263c55cbe89c59d5374540a90c0e9425,Angled Silhouette,23
263c55cbe89c59d5374540a90c0e9425,Bird Fez,16
263c55cbe89c59d5374540a90c0e9425,Pi Henge,17
263c55cbe89c59d5374540a90c0e9425,Pyramids are Strange,19
"
"
cc9b0177c4af699f8c39c9f7126fa4a4,45-Degree Rotations,13
cc9b0177c4af699f8c39c9f7126fa4a4,Angled Silhouette,19
cc9b0177c4af699f8c39c9f7126fa4a4,Bird Fez,11
cc9b0177c4af699f8c39c9f7126fa4a4,Pi Henge,12
cc9b0177c4af699f8c39c9f7126fa4a4,Pyramids are Strange,14
"
"
ffa946ca09448817699cabbb3dd78d56,45-Degree Rotations,15
ffa946ca09448817699cabbb3dd78d56,Angled Silhouette,20
ffa946ca09448817699cabbb3dd78d56,Bird Fez,13
ffa946ca09448817699cabbb3dd78d56,Pi Henge,14
ffa946ca09448817699cabbb3dd78d56,Pyramids are Strange,16
"
"
bf0a784fe1efa01dc5a2e1ccd1f731fc,45-Degree Rotations,15
bf0a784fe1efa01dc5a2e1ccd1f731fc,Angled Silhouette,21
bf0a784fe1efa01dc5a2e1ccd1f731fc,Bird Fez,12
bf0a784fe1efa01dc5a2e1ccd1f731fc,Pi Henge,14
bf0a784fe1efa01dc5a2e1ccd1f731fc,Pyramids are Strange,16
"
"
3d992da5acb90d3c9b53b9684d648306,45-Degree Rotations,14
3d992da5acb90d3c9b53b9684d648306,Angled Silhouette,24
3d992da5acb90d3c9b53b9684d648306,Bird Fez,12
3d992da5acb90d3c9b53b9684d648306,Pi Henge,13
3d992da5acb90d3c9b53b9684d648306,Pyramids are Strange,15
"
"Este está etiquetado
73002223a76a57543bc0d9e92c685d21,45-Degree Rotations,14
73002223a76a57543bc0d9e92c685d21,Angled Silhouette,19
73002223a76a57543bc0d9e92c685d21,Bird Fez,12
"
"
eb31edc705bc6a52f30c37c1622267cc,45-Degree Rotations,4
eb31edc705bc6a52f30c37c1622267cc,Angled Silhouette,9
eb31edc705bc6a52f30c37c1622267cc,Bird Fez,2
eb31edc705bc6a52f30c37c1622267cc,Pi Henge,3
eb31edc705bc6a52f30c37c1622267cc,Pyramids are Strange,5
"
"
049217092f0cf180df6272f85c8144b1,45-Degree Rotations,16
049217092f0cf180df6272f85c8144b1,Angled Silhouette,22
049217092f0cf180df6272f85c8144b1,Bird Fez,14
049217092f0cf180df6272f85c8144b1,Pi Henge,15
049217092f0cf180df6272f85c8144b1,Pyramids are Strange,18
"
"
e71fff89938ec1fe219e736fa36f8b6b,45-Degree Rotations,13
e71fff89938ec1fe219e736fa36f8b6b,Angled Silhouette,19
e71fff89938ec1fe219e736fa36f8b6b,Bird Fez,11
e71fff89938ec1fe219e736fa36f8b6b,Pi Henge,12
e71fff89938ec1fe219e736fa36f8b6b,Pyramids are Strange,14
"
"
5760acdfb9a7fe7637b49680a8dc2d47,45-Degree Rotations,14
5760acdfb9a7fe7637b49680a8dc2d47,Angled Silhouette,19
5760acdfb9a7fe7637b49680a8dc2d47,Bird Fez,12
5760acdfb9a7fe7637b49680a8dc2d47,Pi Henge,13
5760acdfb9a7fe7637b49680a8dc2d47,Pyramids are Strange,15
"
"
5dbb0c7e9eb3e307c96f39cfbc5f524b,45-Degree Rotations,15
5dbb0c7e9eb3e307c96f39cfbc5f524b,Angled Silhouette,19
5dbb0c7e9eb3e307c96f39cfbc5f524b,Bird Fez,13
5dbb0c7e9eb3e307c96f39cfbc5f524b,Pi Henge,14
5dbb0c7e9eb3e307c96f39cfbc5f524b,Pyramids are Strange,16
5dbb0c7e9eb3e307c96f39cfbc5f524b,Pyramids are Strange,24
"
"Este está etiquetado
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,45-Degree Rotations,15
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Angled Silhouette,21
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Bird Fez,13
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pi Henge,14
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pyramids are Strange,16
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pyramids are Strange,17
"
"
8b646f630d19b5df0e56ad347301a533,45-Degree Rotations,13
8b646f630d19b5df0e56ad347301a533,Bird Fez,11
8b646f630d19b5df0e56ad347301a533,Pi Henge,12
8b646f630d19b5df0e56ad347301a533,Pyramids are Strange,14
"
"
8cec40ccb0fb360dd8828fa1d8843528,45-Degree Rotations,4
8cec40ccb0fb360dd8828fa1d8843528,Bird Fez,7
8cec40ccb0fb360dd8828fa1d8843528,Pi Henge,3
8cec40ccb0fb360dd8828fa1d8843528,Pyramids are Strange,5
"
"
09c0fd63d10090d7503972218cf4bfc3,45-Degree Rotations,13
09c0fd63d10090d7503972218cf4bfc3,Bird Fez,11
09c0fd63d10090d7503972218cf4bfc3,Pi Henge,12
09c0fd63d10090d7503972218cf4bfc3,Pyramids are Strange,14
"
"
260b88947a587ebbb88ab3988c0cc484,45-Degree Rotations,13
260b88947a587ebbb88ab3988c0cc484,Bird Fez,11
260b88947a587ebbb88ab3988c0cc484,Pi Henge,12
"
"
e38b2dcc1efd0d9e05a0059b29939914,45-Degree Rotations,14
e38b2dcc1efd0d9e05a0059b29939914,Bird Fez,12
e38b2dcc1efd0d9e05a0059b29939914,Pi Henge,13
e38b2dcc1efd0d9e05a0059b29939914,Pyramids are Strange,20
"
"
a9381a5d6b310e58bb06df10c0a8bcfa,45-Degree Rotations,15
a9381a5d6b310e58bb06df10c0a8bcfa,Bird Fez,12
a9381a5d6b310e58bb06df10c0a8bcfa,Pi Henge,13
"
"
f7383b2902f1761b425ff7df7ae095fc,45-Degree Rotations,5
f7383b2902f1761b425ff7df7ae095fc,Bird Fez,3
f7383b2902f1761b425ff7df7ae095fc,Pi Henge,4
"
"
be778b20fbbc034986feccd6f320585f,Bird Fez,13
be778b20fbbc034986feccd6f320585f,Pi Henge,18
be778b20fbbc034986feccd6f320585f,Pyramids are Strange,22
"
"
2b0af0935243bf6aa00b6f7be5fdbabc,45-Degree Rotations,15
2b0af0935243bf6aa00b6f7be5fdbabc,Bird Fez,11
2b0af0935243bf6aa00b6f7be5fdbabc,Pi Henge,14
2b0af0935243bf6aa00b6f7be5fdbabc,Pyramids are Strange,16
"
"
62201eb12dcba7f781f1f2e75482e1ef,45-Degree Rotations,13
62201eb12dcba7f781f1f2e75482e1ef,Bird Fez,11
62201eb12dcba7f781f1f2e75482e1ef,Pi Henge,12
62201eb12dcba7f781f1f2e75482e1ef,Pyramids are Strange,14
"
"
ca35f06de1cb31608714f602522da941,45-Degree Rotations,17
ca35f06de1cb31608714f602522da941,Bird Fez,15
ca35f06de1cb31608714f602522da941,Pi Henge,16
ca35f06de1cb31608714f602522da941,Pyramids are Strange,18
"
"
f69a717e8b17ef8d693def8d5a8f4993,Bird Fez,13
f69a717e8b17ef8d693def8d5a8f4993,Pi Henge,14
f69a717e8b17ef8d693def8d5a8f4993,Pyramids are Strange,21
"
"
e475e17ea1c7251d27d011af6111af63,Pi Henge,12
"
"
10db62423210c1642e3d793303d2a081,45-Degree Rotations,20
"
"
6aaba2aceab47f1f4390af407db96c2b,Bird Fez,11
